Dozentennummer,ProsopID,Vollname,Nachname,Vorname,Geburt,Tod,Institution,Fakultaet,Typ,Beschreibung,Von,Bis,Verwandt
889,4.4.67,Christen Theophil Friedrich,Christen,Theophil Friedrich,1873-04-01,1920-05-06,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Basel', 'Studium in Basel Leipzig Zürich', 'Dr. phil. Basel', 'med. Staatsexamen Zürich', 'Dr. med. Zürich', 'Praktischer Arzt', 'PD Innere Medizin bes. physikalische Therapie', 'Privatindustrie München']","['1909-01-01', '1915-01-01']",[],[]
890,4.4.68,Fankhauser Ernst,Fankhauser,Ernst,1868-11-02,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern Berlin Wien', 'Staatsexamen Bern', 'Dr. med. Bern', '3. Arzt Waldau', 'PD Psychiatrie Lokaldiagnostik und pathologische Histologie des Zentralnervensystems;', '+ gerichtliche Psychiatrie']","['1891-01-01', '1909-01-01', '1916-01-01', '1934-01-01']",[],[]
891,4.4.69,Schlub Hans Otmar,Schlub,Hans Otmar,1872-08-24,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Basel', 'Studium in Basel', 'Staatsexamen Basel', 'Dr. med. Basel', 'Zweiter Arzt der Irrenanstalt Prefargier', 'PD Psychiatrie']","['1896-01-01', '1897-01-01', '1909-01-01', '1911-01-01']",[],[]
892,4.4.70,von Ries Julius,von Ries,Julius,1879-05-21,1949-01-21,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Realschule Moskau', 'Studium Bern Wien Bologna', 'Staatsexamen Bern', 'Italienisches Staatsexamen Bologna', 'Dr. med. Bern', 'Assistent Bern', 'PD Physiologie', 'Tod']","['1905-01-01', '1908-01-01', '1910-01-01', '1949-01-01']",[],[]
893,4.4.71,Döbeli Emil,Döbeli,Emil,1876-11-09,1941-12-29,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern', 'Staatsexamen', 'Dr. med. Bern', 'Arzt in Bern', 'PD Kinderheilkunde', 'Tod']","['1902-01-01', '1903-01-01', '1911-01-01', '1941-01-01']",[],[]
894,4.4.72,Lauper Jakob,Lauper,Jakob,,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'lehrtaetigkeit_unibe']","['Spitalarzt Interlaken', 'PD Chirurgie']","['1911-01-01', '1912-01-01']",[],[]
895,4.4.73,Getzowa Sophie,Getzowa,Sophie,1872-01-23,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Romny ( Russland )', 'Studium in Bern', 'Dr. med. Bern', 'Assistentin Bern', 'PD Pathologische Anatomie']","['1904-01-01', '1912-01-01', '1928-01-01']",[],[]
896,4.4.74,Lotmar Fritz,Lotmar,Fritz,1878-10-26,1964-10-24,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasien München und Bern', 'Studium in Bern Heidelberg München Strassburg', 'Staatsexamen Strassburg', 'Dr. med. Strassburg', 'Assistent in München', 'PD Innere Medizin', 'Ruhestand']","['1903-01-01', '1904-01-01', '1912-01-01', '1949-01-01']",[],['Sohn von oP Philipp Lotmar ( 3. 1. 33 )']
897,4.4.75,Rothermundt Max Gustav Eduard,Rothermundt,Max Gustav Eduard,1879-12-20,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Dresden', 'Studium in Leipzig Heidelberg München und Strassburg', 'Staatsexamen Strassburg', 'Dr. med. Strassburg', 'Assistent am Institut zur Erforschung der Infektionskrankheiten', 'Vorsteher Pasteur-Institut Bern', 'PD Bakteriologie und Hygiene']","['1906-01-01', '1912-01-01', '1919-01-01']",[],[]
898,4.4.76,Schnyder Louis,Schnyder,Louis,1868-09-21,1927-03-20,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Neuenburg', 'Studium in Bern und Würzburg', 'Staatsexamen Bern', 'Dr. med. Bern', 'Schüler von P. Dubois', 'Assistenzarzt Bern Arzt in Bern', 'PD Interne Medizin ( Psychoneurosen und Psychotherapie )', 'Tod']","['1894-01-01', '1896-01-01', '1912-01-01', '1927-01-01']",[],[]
899,4.4.77,Schürmann Wilhelm Johann Walter,Schürmann,Wilhelm Johann Walter,1880-05-14,1974-01-27,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Krefeld', 'Studium in Freiburg i. Br. Leipzig Kiel Giessen und München', 'Staatsexamen Kiel', 'Dr. med. Kiel', 'Leiter der Untersuchungsabteilung am Institut zur Erforschung der Infektionskrankheiten Bern', 'PD Hygiene und Bakteriologie', 'Ruf nach Halle', 'PD Halle', 'Titularprofessor Halle', 'Professor Halle', 'Professor in Münster', 'Vorsteher des Medizinalwesens der Ruhr-Knappschaft', 'HonP Münster']","['1906-01-01', '1912-01-01', '1915-01-01', '1918-01-01', '1920-01-01', '1922-01-01', '1928-01-01']",['1935-01-01'],[]
900,4.4.78,Dumont Fritz Ludwig,Dumont,Fritz Ludwig,1882-07-23,1947-04-08,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern und Lausanne', 'Staatsexamen', 'Dr. med. Lausanne', 'Arzt in Bern', 'PD Chirurgie', 'Tod']","['1907-01-01', '1913-01-01', '1947-01-01']",[],['Sohn von Titularprof. Fritz Ludwig Dumont ( 4. 3. 1 )']
901,4.4.79,von Fellenberg Rudolf Karl Gustav,von Fellenberg,Rudolf Karl Gustav,1874-07-30,1962-01-01,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern und Zürich', 'Staatsexamen Bern', 'Dr. med. Bern', 'Arzt in Bern', 'PD Geburtshilfe und Gynäkologie', 'Ruhestand']","['1899-01-01', '1900-01-01', '1913-01-01', '1944-01-01']",[],[]
902,4.4.80,Steiger Max,Steiger,Max,1880-12-07,1924-09-08,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern und Genf', 'postgraduate in Dublin', 'Staatsexamen', 'Dr. med. Bern', 'Licence of Midwifery and Gynecology Dublin', 'Frauenarzt in Bern', 'PD Geburtshilfe und Gynäkologie seit', 'Radiologie', 'Tod']","['1905-01-01', '1907-01-01', '1910-01-01', '1913-01-01', '1919-01-01', '1924-01-01']",[],[]
903,4.4.81,Hartoch Oscar Heinrich,Hartoch,Oscar Heinrich,1881-12-25,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium St. Petersburg', 'Studium in Bonn und Bern', 'Staatsexamen Bonn', 'Dr. med. Bonn', 'Russisches Staatsexamen Dorpat', 'Assistent Bern', 'PD Chemotherapie und Immunitätsforschung']","['1905-01-01', '1906-01-01', '1914-01-01', '1920-01-01']",[],[]
904,4.4.82,König Fritz,König,Fritz,1883-07-25,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern und München', 'postgraduate in Frankfurt a. M. und Berlin', 'Arzt in Bern', 'PD Geburtshilfe und Gynäkologie', 'Demission']","['1914-01-01', '1941-01-01']",[],['Bruder von oP Richard König ( 3. 1. 52 )']
905,4.4.83,von Rodt Walther Emanuel,von Rodt,Walther Emanuel,1875-08-22,1944-12-30,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Lausanne Bern München', 'Staatsexamen Bern', 'Dr. med. Bern', 'Assistent Bern', 'PD Geschichte der Medizin seit', 'Erweiterung der Venia um Otorhinolaryngologie', 'Tod']","['1901-01-01', '1903-01-01', '1914-01-01', '1918-01-01', '1944-01-01']",[],[]
906,4.4.84,Rusca Franchino,Rusca,Franchino,1884-06-04,1941-03-24,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Handelsschule Bellinzona', 'Eidgenössische Matur Basel', 'Studium in Bern Wien und Berlin', 'Staatsexamen Bern', 'Dr. med. Bern', 'Schüler von Sahli und Kocher', 'Assistent Bern', 'PD Chirurgie', 'Tod']","['1908-01-01', '1909-01-01', '1914-01-01', '1941-01-01']",[],[]
907,4.4.85,Valentin Francis,Valentin,Francis,1880-08-12,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern und Genf', 'Staatsexamen Bern', 'Dr. med. Bern', 'Arzt in Bern', 'PD Otorhinolaryngologie']","['1906-01-01', '1907-01-01', '1914-01-01', '1918-01-01']",[],['Sohn von aoP A. Valentin ( 4. 2. 10 )']
908,4.4.86,Eiger Maryan,Eiger,Maryan,1873-08-22,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Warschau', 'Studium in Warschau Dorpat Moskau', 'Staatsexamen Moskau', 'Dr. med. Moskau', 'Assistent Moskau Berlin Warschau Krakau', 'PD Physiologie']","['1899-01-01', '1900-01-01', '1915-01-01', '1920-01-01']",[],[]
909,4.4.87,Lipschütz Alexander,Lipschütz,Alexander,1883-08-29,,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Riga', 'Studium in Berlin Zürich Göttingen', 'Dr. med. Göttingen', 'Assistent Bern', 'PD Physiologie', 'oP Dorpat', 'oP Concepcion / Chile']","['1907-01-01', '1915-01-01', '1919-01-01', '1926-01-01']",[],[]
910,4.4.88,Ryser Hans,Ryser,Hans,1876-07-11,1934-04-30,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern und Basel', 'Staatsexamen Bern', 'Dr. med. Bern', 'Arzt in Biel', 'PD Innere Medizin', 'Tod']","['1901-01-01', '1902-01-01', '1915-01-01', '1934-01-01']",[],[]
911,4.4.89,Morgenthaler Walter,Morgenthaler,Walter,1882-04-15,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern Wien Zürich München Berlin', 'Staatsexamen Zürich', 'Dr. med. Bern', '3. Arzt Irrenanstalt Waldau', 'PD Psychiatrie', 'Demission']","['1908-01-01', '1909-01-01', '1917-01-01', '1938-01-01']",[],['Bruder von HonP Otto Morgenthaler ( 5. 3. 1 )']
912,4.4.90,Rohrer Fritz,Rohrer,Fritz,1888-04-15,1926-03-24,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Zürich', 'Studium in Zürich Heidelberg und München', 'Staatsexamen Zürich', 'Dr. med. Zürich Schüler von Asher', 'Assistent Tübingen', 'Assistent Bern', 'PD Physiologie', 'PD Basel']","['1912-01-01', '1914-01-01', '1917-01-01', '1918-01-01']",[],[]
913,4.4.91,Trainer Moritz,Trainer,Moritz,,,['Universität'],['medizinisch'],['lehrtaetigkeit_unibe'],['PD Psychiatrie s. Nr. 4. 3. 10 HonP med.'],['1917-01-01'],['1918-01-01'],[]
914,4.4.92,Uhlmann Fritz ( Friedrich ),Uhlmann,Fritz ( Friedrich ),1881-02-24,1938-09-23,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Burgdorf', 'Studium in Bern', 'Staatsexamen Bern', 'Dr. med. Bern', 'Angestellter der CIBA', 'PD Pharmakologie', 'Tod']","['1906-01-01', '1918-01-01', '1938-01-01']",[],[]
915,4.4.93,Hegner Carl August,Hegner,Carl August,1880-02-06,1964-08-23,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Einsiedeln', 'Studium in Zürich München Kiel Berlin', 'Dr. med.', 'PD Jena', 'aoP Jena', 'PD Augenheilkunde', 'seit', 'Chefarzt Luzern ( Kant. Augenspital )']","['1906-01-01', '1912-01-01', '1916-01-01', '1919-01-01', '1931-01-01', '1922-01-01']",[],[]
916,4.4.94,Pettavel Charles A.,Pettavel,Charles A.,1885-01-01,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Neuenburg', 'Studium in Neuenburg Genf und Bern', 'Staatsexamen Bern', 'Dr. med. Bern', 'Spezialarzt für Chirurgie Neuenburg', 'PD Chirurgie']","['1910-01-01', '1911-01-01', '1919-01-01', '1932-01-01']",[],[]
917,4.4.95,Lenz Emil,Lenz,Emil,1886-09-01,1933-01-01,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Kantonsschule Frauenfeld', 'Studium in Genf Zürich München Berlin', 'Dr. med. Zürich', 'PD Pharmakologie', 'Tod']","['1920-01-01', '1933-01-01']",[],[]
918,4.4.96,Loewenthal Waldemar,Loewenthal,Waldemar,1874-05-10,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Preussische Gymnasien', 'Studium in Freiburg i. Br. Berlin Erlangen', 'Dr. med. Erlangen', 'Staatsexamen Freiburg i. Br.', 'Assistent Bern', 'PD Hygiene und Bakteriologie', 'Tod']","['1897-01-01', '1899-01-01', '1920-01-01', '1928-01-01']",[],[]
919,4.4.97,Streuli Heinrich,Streuli,Heinrich,1893-01-10,1977-02-26,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Lausanne und Bern', 'Dr. med. Bern', 'Staatsexamen Bern', 'Sekundärarzt der Augenklinik Bern', 'PD Ophthalmologie', 'Ruhestand']","['1915-01-01', '1917-01-01', '1922-01-01', '1963-01-01']",[],[]
920,4.4.98,Walthard Hermann,Walthard,Hermann,1885-01-21,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern und Genf', 'Staatsexamen Bern Dr. med. Bern', 'Facharzt für Chirurgie in Bern', 'PD Chirurgie', 'Verzicht auf die Venia']","['1909-01-01', '1924-01-01', '1943-01-01']",[],['Neffe von HonP Max Rudolf Robert Walthard ( 4. 3. 4 )']
921,4.4.99,Wydler Albert,Wydler,Albert,1886-05-29,,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Zürich', 'Studium in Zürich und München', 'Staatsexamen Zürich', 'Dr. med. Zürich', 'Schüler von Krönlein Sauerbruch und de Quervain', 'Oberarzt Basel und Bern', 'PD Chirurgie', 'Privatpraxis in Zürich']","['1910-01-01', '1911-01-01', '1924-01-01', '1941-01-01']",[],[]
922,4.4.100,Dardel Gustav,Dardel,Gustav,1887-01-01,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Neuenburg', 'Studium in Bern Berlin Paris', 'Staatsexamen Bern', 'Dr. med. Bern', 'Arzt in Bern', 'PD Chirurgie', 'Ruhestand']","['1914-01-01', '1916-01-01', '1925-01-01', '1957-01-01']",[],[]
923,4.4.101,Nigst Paul,Nigst,Paul,1884-09-23,1946-12-25,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern Studium in Bern und Marburg', 'Staatsexamen Bern Dr. med. Bern', 'Spezialarzt in Bern', 'PD Chirurgie', 'Tod']","['1909-01-01', '1928-01-01', '1946-01-01']",[],[]
924,4.4.102,Scheinfinkel Nathan,Scheinfinkel,Nathan,1893-09-13,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Ekaterinoslaw', 'Studium in Bern', 'Dr. med. Bern', 'Assistent Bern', 'PD Physiologie']","['1920-01-01', '1929-01-01', '1949-01-01']",[],[]
925,4.4.103,Walther Friedrich,Walther,Friedrich,1878-11-01,1959-03-31,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern', 'Staatsexamen Bern', 'Dr. med. Bern', 'Assistenzarzt Waldau / Bern', 'PD Psychiatrie', 'Ruhestand']","['1903-01-01', '1904-01-01', '1930-01-01', '1949-01-01']",[],[]
926,4.4.104,Ottensooser Fritz,Ottensooser,Fritz,1891-07-19,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Nürnberg', 'Studium in München Berlin und Heidelberg', 'Staatsexamen Heidelberg', 'Dr. med. und phil. Heidelberg', 'Vorsteher der Serologischen Abteilung des Instituts zur Erforschung der Infektionskrankheiten Bern', 'PD Serologie und Immunitätsforschung']","['1915-01-01', '1932-01-01', '1941-01-01']",[],[]
927,4.4.105,Vannotti Alfredo,Vannotti,Alfredo,1907-08-11,,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium in Mailand', 'Studium in Mailand Zürich Wien', 'Staatsexamen Zürich', 'Dr. med. Mailand', 'Oberarzt Bern', 'PD Innere Medizin', 'Ruf nach Lausanne', 'oP Lausanne']","['1932-01-01', '1933-01-01', '1935-01-01', '1937-01-01']",[],[]
928,4.4.106,Schmid Alfred,Schmid,Alfred,1884-11-13,1946-01-15,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium Bern Jena München', 'postgraduate Wien Hamburg', 'Staatsexamen Bern', 'Dr. med. Bern', 'Spezialarzt für Chirurgie und Urologie in Bern', 'PD Geschichte der Medizin', 'Tod']","['1910-01-01', '1912-01-01', '1938-01-01', '1946-01-01']",[],[]
929,4.4.107,Thomann Julius,Thomann,Julius,1872-04-20,1946-09-30,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium St. Gallen', 'Studium in Zürich und Genf', 'pharmazeutisches Staatsexamen ETH Zürich', 'Dr. phil. Universität Zürich', 'Diplom als Lebensmittelchemiker', 'Eidgenössischer Armeeapotheker', 'Lektor Ausgewählte Kapitel der Arzneiformenlehre', 'PD Ausgewählte Kapitel der galenischen Pharmazie', 'Ruhestand']","['1896-01-01', '1899-01-01', '1909-01-01', '1933-01-01', '1938-01-01', '1942-01-01']",[],[]
930,4.4.108,Blum Ernst,Blum,Ernst,1892-11-15,1981-01-30,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Staatsexamen Dr. med.', 'Leitender Arzt Psychiatrische Poliklinik Bern', 'PD Psychiatrie und Neurologie', 'Ruhestand']","['1917-01-01', '1941-01-01', '1957-01-01']",[],[]
931,4.4.109,Racine Willy,Racine,Willy,1898-08-05,1946-03-02,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['College und Gymnasium Neuenburg', 'Studium in Neuenburg Zürich und Lausanne', 'Staatsexamen Lausanne', 'Dr. med. Lausanne', 'Assistent Bern Spezialarzt in Neuenburg Spezialarzt in Bern', 'PD Otorhinolaryngologie', 'Tod']","['1923-01-01', '1924-01-01', '1941-01-01', '1946-01-01']",['1926-01-01'],[]
932,4.4.110,Jung Albert Markus,Jung,Albert Markus,1901-03-23,1972-09-15,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Schiers', 'Studium in Basel Bonn München', 'Staatsexamen Basel', 'Dr. med. Basel', 'Wissenschaftlicher Mitarbeiter Dr. Wander AG Bern', 'PD Physiologische Chemie', 'Professor Genf', 'Professor Genf Arzt in Israel', 'Arzt Kantonsspital Fribourg bis Tod']","['1926-01-01', '1927-01-01', '1942-01-01', '1960-01-01']",[],[]
933,4.4.111,Leitner Stephan,Leitner,Stephan,1903-06-24,1951-09-14,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Würzburg und Leipzig', 'Deutsches Staatsexamen', 'Dr. med. Leipzig', 'Seit', 'in der Schweiz', 'Assistenzarzt der bernischen Heilstätte Heiligenschwendi', 'Sekundärarzt der bernischen Heilstätte Heiligenschwendi', 'PD Innere Medizin', 'mit bes. Berücksichtigung der Tuberkulose', 'Tod']","['1927-01-01', '1928-01-01', '1933-01-01', '1939-01-01', '1944-01-01', '1946-01-01', '1951-01-01']",[],[]
934,4.4.112,Bärtschi Werner,Bärtschi,Werner,1911-02-08,,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Genf und Bern', 'lic. Sc. biol. Genf', 'Dr. Sc. biol. Genf', 'Dr. med. Bern', 'Schüler von Krayenbühl ( Zürich ) de Quervain ( Bern )', 'ff. PD Neurologie', '-', 'oP Alexandria / Ägypten']","['1932-01-01', '1933-01-01', '1935-01-01', '1949-01-01', '1957-01-01', '1955-01-01']","['1955-01-01', '1957-01-01']",[]
935,4.4.113,Stämpfli Robert,Stämpfli,Robert,1914-06-09,,['Universität'],['medizinisch'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Zürich ( ETH ) Bern und Genf', 'Staatsexamen Genf', 'Dr. med. Bern', 'Schüler von A. von Muralt', 'PD Physiologie', 'Ruf nach Homburg / Saar', 'oP Universität des Saarlandes']","['1941-01-01', '1942-01-01', '1949-01-01', '1954-01-01']",[],[]
936,4.4.114,Steiger Kurt,Steiger,Kurt,,,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Dr. pharm.', 'Kantonsapotheker Zürich', 'PD Galenische Pharmazie besonders sterile Arzneimittel', 'Ruf nach Zürich', 'aoP ETH Zürich']","['1949-01-01', '1954-01-01']",[],[]
937,4.4.115,Strehler Ernst Heinrich,Strehler,Ernst Heinrich,1912-05-03,,['Universität'],['medizinisch'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Winterthur', 'Studium in Genf Zürich und Paris', 'Dr. med. Zürich', 'Schüler von W. Frey', 'Delegierter des Internationalen Roten Kreuzes', 'PD Innere Medizin']","['1937-01-01', '1950-01-01', '1975-01-01']",[],[]
938,4.4.116,Witmer Rudolf Hermann,Witmer,Rudolf Hermann,1919-10-30,,['Universität'],['medizinisch'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Bern', 'Studium in Genf und Bern', 'Staatsexamen Bern', 'Dr. med. Bern', 'Assistent Bern', 'PD Ophthalmologie', 'Ruf nach Zürich', 'oP Zürich']","['1945-01-01', '1946-01-01', '1955-01-01', '1961-01-01']",[],[]
